label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Nisibisi,874623,نصيبين,Nisibisin,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
Samosata,658587,سميساط,Samisat,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
Edessa,491585,الرها,Ar-Raha,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
Amida,874298,آمد,Amid,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,
"Tigris, fl.",912964,نهر دجلة,Nahr Digla,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,Literal translation: River Digla
"Euphrates, fl.",912849,نهر الفرات,Nahr al-Frat,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,,,Literal translation: River al-Frat
Nicephorion,668318,الرقة,Ar-Raqa,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), الرقة",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B1%D9%82%D8%A9,,,"Mediaeval/Byzantine, Modern",,
Nicephorion,668318,الرافضة ,Ar-Rafidha,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia, Al Raqqah",https://en.wikipedia.org/wiki/Al-Raqqah,,,,,"According to Wikiepdia, ""Between 771 and 772, the Abbasid caliph al-Mansur built a garrison city about 200 metres to the west of al-Raqqah for a detachment of his Khorasanian Persian army. It was named al-Rāfiqah, ""the companion"". The strength of the Abbasid imperial military is still visible in the impressive city wall of al-Rāfiqah. Al-Raqqah and al-Rāfiqah merged into one urban complex, together larger than the former Umayyad capital Damascus."" They are still recorded as separate entities in the Muqaddimah "
Al Hira,912800,الحيرة,Al-Chira,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), الحيرة",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D9%8A%D8%B1%D8%A9,,,"Mediaeval/Byzantine, Modern",,
Mosul,874609,الموصل,Al-Musul,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), الموصل",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%88%D8%B5%D9%84,,,"Mediaeval/Byzantine, Modern",,
